id,organisation_id,organisation_name,firm_id,city,observed_on,observation_type,limit,source_refs
office-44c941714bcdc36d6547,brand-138991c77bdae120e791,NERA,,Wellington,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-6fecc415395156133ef9,brand-138991c77bdae120e791,NERA,,White Plains,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-dce0593d3d3eb1934427,brand-0baf4683816040c123f4,Oxera,,Amsterdam,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-2e287c4a066c35ad71ee,brand-0baf4683816040c123f4,Oxera,,Berlin,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-2edbd6b41b28e078fe81,brand-0baf4683816040c123f4,Oxera,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-a12845d5d5ab24a5c161,brand-0baf4683816040c123f4,Oxera,,Hamburg,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-04ce9d7ebbbad107db4c,brand-0baf4683816040c123f4,Oxera,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-31c7d93635e6883e55dd,brand-0baf4683816040c123f4,Oxera,,Madrid,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-f36e07ef47d6bd718a88,brand-0baf4683816040c123f4,Oxera,,Milan,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-f8c2c6fc7e61b597716d,brand-0baf4683816040c123f4,Oxera,,Munich,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-35aa1f320cbf1f5b56c6,brand-0baf4683816040c123f4,Oxera,,Oxford,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-97d423756df5a1db4540,brand-0baf4683816040c123f4,Oxera,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-8fa25b2bfaa0bc8f97e2,brand-0baf4683816040c123f4,Oxera,,Rome,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-cbfb744fcb4575aed806""}]"
office-b754d93bfaf2dceccfd1,brand-6e5bbd1d3ce20033623e,RBB Economics,,Amsterdam,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-ce6f5ea792ca84f3da40,brand-6e5bbd1d3ce20033623e,RBB Economics,,Berlin,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-5afcf1fea051fcf489bb,brand-6e5bbd1d3ce20033623e,RBB Economics,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-a84770ea253888f164cc,brand-6e5bbd1d3ce20033623e,RBB Economics,,Copenhagen,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-695ad6ffc8cd17fc3aec,brand-6e5bbd1d3ce20033623e,RBB Economics,,Düsseldorf,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-4edbc7d853aae9c9761a,brand-6e5bbd1d3ce20033623e,RBB Economics,,Helsinki,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-3b3984d85833a71944a1,brand-6e5bbd1d3ce20033623e,RBB Economics,,Johannesburg,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-e092dd18d4634600cfb0,brand-6e5bbd1d3ce20033623e,RBB Economics,,Lisbon,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-e89b6f62e709e87071e5,brand-6e5bbd1d3ce20033623e,RBB Economics,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-c5a812e0d25d3ffbc16e,brand-6e5bbd1d3ce20033623e,RBB Economics,,Madrid,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-842cc51584e5250b079c,brand-6e5bbd1d3ce20033623e,RBB Economics,,Melbourne,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-758337d054501b12f29c,brand-6e5bbd1d3ce20033623e,RBB Economics,,Milan,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-f13fac83c8bd81758b2d,brand-6e5bbd1d3ce20033623e,RBB Economics,,Oslo,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-2b2ed35939fedf1925ba,brand-6e5bbd1d3ce20033623e,RBB Economics,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-79859808971f5f90924b,brand-6e5bbd1d3ce20033623e,RBB Economics,,Santiago,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-607afad12c9fb223ac47,brand-6e5bbd1d3ce20033623e,RBB Economics,,Singapore,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-c5e8c095268623c65ec8,brand-6e5bbd1d3ce20033623e,RBB Economics,,Stockholm,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
office-d35996620965d7b61b82,brand-6e5bbd1d3ce20033623e,RBB Economics,,Sydney,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d724210f1e0e3416167d""}]"
